ID;Ubicazione;Quantita
MATE106;CINI;0
MATE106;MANDELLI;1
MATE106;SALUTE;0
MATE106;PALAZZINA MARFISA;0
MATE106;MAGAZZINO;0
MATE106;VALIER;0
MATE106;TRIESTE;0
MATE107;LABORATORIO;0
MATE107;ZANARDI;0
MATE107;CINI;0
MATE107;MANDELLI;0
MATE107;SALUTE;0
MATE107;PALAZZINA MARFISA;0
MATE107;MAGAZZINO;0
MATE107;VALIER;0
MATE107;TRIESTE;0
MATE108;LABORATORIO;0
MATE108;ZANARDI;100
MATE108;CINI;0
MATE108;MANDELLI;20
MATE108;SALUTE;0
MATE108;PALAZZINA MARFISA;0
MATE108;MAGAZZINO;0
MATE108;VALIER;0
MATE108;TRIESTE;0
MATE109;LABORATORIO;0
MATE109;ZANARDI;10
